iter	Passed	Remaining
779	3704	1044
780	3708	1039
781	3713	1035
782	3717	1030
783	3722	1025
784	3727	1020
785	3732	1016
786	3737	1011
787	3742	1006
788	3747	1002
789	3751	997
790	3756	992
791	3760	987
792	3765	982
793	3770	978
794	3775	973
795	3780	968
796	3784	964
797	3789	959
798	3794	954
799	3799	949
800	3803	944
801	3808	940
802	3812	935
803	3817	930
804	3822	925
805	3826	921
806	3830	916
807	3835	911
808	3839	906
809	3843	901
810	3847	896
811	3852	891
812	3856	887
813	3860	882
814	3864	877
815	3868	872
816	3873	867
817	3877	862
818	3881	857
819	3886	853
820	3890	848
821	3894	843
822	3898	838
823	3903	833
824	3907	828
825	3911	823
826	3915	819
827	3920	814
828	3924	809
829	3928	804
830	3932	799
831	3937	795
832	3941	790
833	3945	785
834	3950	780
835	3954	775
836	3958	770
837	3963	766
838	3967	761
839	3971	756
840	3976	751
841	3980	746
842	3984	742
843	3988	737
844	3993	732
845	3998	727
846	4002	722
847	4006	718
848	4010	713
849	4014	708
850	4018	703
851	4023	698
852	4027	694
853	4031	689
854	4035	684
855	4040	679
856	4044	674
857	4048	670
858	4053	665
859	4057	660
860	4061	655
861	4066	651
862	4070	646
863	4075	641
864	4079	636
865	4083	631
866	4088	627
867	4092	622
868	4097	617
869	4102	612
870	4106	608
871	4110	603
872	4115	598
873	4119	593
874	4124	589
875	4128	584
876	4132	579
877	4137	574
878	4141	570
879	4145	565
880	4149	560
881	4153	555
882	4158	550
883	4162	546
884	4166	541
885	4170	536
886	4174	531
887	4179	527
888	4184	522
889	4188	517
890	4192	512
891	4197	508
892	4201	503
893	4205	498
894	4210	493
895	4214	489
896	4218	484
897	4223	479
898	4227	474
899	4232	470
900	4236	465
901	4240	460
902	4245	456
903	4249	451
904	4254	446
905	4258	441
906	4262	437
907	4267	432
908	4271	427
909	4276	422
910	4280	418
911	4285	413
912	4289	408
913	4293	404
914	4297	399
915	4302	394
916	4306	389
917	4310	385
918	4315	380
919	4319	375
920	4323	370
921	4327	366
922	4331	361
923	4335	356
924	4339	351
925	4344	347
926	4348	342
927	4352	337
928	4357	332
929	4361	328
930	4365	323
931	4369	318
932	4374	314
933	4379	309
934	4384	304
935	4391	300
936	4396	295
937	4401	290
938	4406	286
939	4411	281
940	4416	276
941	4421	272
942	4426	267
943	4431	262
944	4437	258
945	4442	253
946	4446	248
947	4451	244
948	4456	239
949	4461	234
950	4466	230
951	4472	225
952	4477	220
953	4481	216
954	4486	211
955	4491	206
956	4495	201
957	4499	197
958	4504	192
959	4508	187
960	4512	183
961	4516	178
962	4520	173
963	4525	168
964	4529	164
965	4533	159
966	4537	154
967	4542	150
968	4546	145
969	4550	140
970	4555	136
971	4559	131
972	4563	126
973	4568	121
974	4572	117
975	4576	112
976	4581	107
977	4585	103
978	4590	98
979	4594	93
980	4598	89
981	4602	84
982	4606	79
983	4610	74
984	4615	70
985	4619	65
986	4623	60
987	4628	56
988	4633	51
989	4637	46
990	4641	42
991	4646	37
992	4650	32
993	4654	28
994	4659	23
995	4663	18
996	4668	14
997	4672	9
998	4676	4
999	4681	0
